genericId,watsonChatId,responseType,responseText
null,33236280-ffb6-41c8-86b8-a50e7dcf96f0,text, Hi there, I am TRM's virtual assistant! 👋🏽 
null,33236280-ffb6-41c8-86b8-a50e7dcf96f0,pause,1000
null,33236280-ffb6-41c8-86b8-a50e7dcf96f0,text,I'm here to assist you with your Maximo related questions
null,33236280-ffb6-41c8-86b8-a50e7dcf96f0,pause,1000
null,33236280-ffb6-41c8-86b8-a50e7dcf96f0,text,Please select an option or type your question below
null,33236280-ffb6-41c8-86b8-a50e7dcf96f0,option,"Work Order" "Purchase Order" "Preventive Maintenance" "Service Request" "User Access" "Reports" 
null,33236280-ffb6-41c8-86b8-a50e7dcf96f0,suggestion,"Search TRM Document Library: what is maximo" "Preventive Maintenance: what is maximo" "Define SLA: what is maximo" "None of the above: what is maximo" 
null,607574b6-0796-46ed-911d-3edcac247bb6,text, Hi there, I am TRM's virtual assistant! 👋🏽 
null,607574b6-0796-46ed-911d-3edcac247bb6,pause,1000
null,607574b6-0796-46ed-911d-3edcac247bb6,text,I'm here to assist you with your Maximo related questions
null,607574b6-0796-46ed-911d-3edcac247bb6,pause,1000
null,607574b6-0796-46ed-911d-3edcac247bb6,text,Please select an option or type your question below
null,607574b6-0796-46ed-911d-3edcac247bb6,option,"Work Order" "Purchase Order" "Preventive Maintenance" "Service Request" "User Access" "Reports" 
null,607574b6-0796-46ed-911d-3edcac247bb6,search,"How to Create and Run a Quick Ad Hoc Report.pdf" "Ad Hoc Report Types  .pdf" "Creating Ad Hoc Reports .pdf" 
null,01a299fe-017a-40e4-b4fe-f42065cbca3c,text, Hi there, I am TRM's virtual assistant! 👋🏽 
null,01a299fe-017a-40e4-b4fe-f42065cbca3c,pause,1000
null,01a299fe-017a-40e4-b4fe-f42065cbca3c,text,I'm here to assist you with your Maximo related questions
null,01a299fe-017a-40e4-b4fe-f42065cbca3c,pause,1000
null,01a299fe-017a-40e4-b4fe-f42065cbca3c,text,Please select an option or type your question below
null,01a299fe-017a-40e4-b4fe-f42065cbca3c,option,"Work Order" "Purchase Order" "Preventive Maintenance" "Service Request" "User Access" "Reports" 
null,01a299fe-017a-40e4-b4fe-f42065cbca3c,search,"LOCATION & ASSET HIERARCHY.pdf" "LOCATIONS APPLICATION OVERVIEW - create a service address.pdf" "Controlling ValueLists through Rules Manager.pdf" 
null,e47744e3-84ff-42af-ac17-8206dba8b28f,text,You use the Failure Codes application to build and to display failure hierarchies. Hierarchies help you construct accurate histories of the failures that affect your assets and operating locations. 
null,e47744e3-84ff-42af-ac17-8206dba8b28f,option,"Failure Code Hierarchy" "Failure Code Duplicate" 
null,e47744e3-84ff-42af-ac17-8206dba8b28f,text, Hi there, I am TRM's virtual assistant! 👋🏽 
null,e47744e3-84ff-42af-ac17-8206dba8b28f,pause,1000
null,e47744e3-84ff-42af-ac17-8206dba8b28f,text,I'm here to assist you with your Maximo related questions
null,e47744e3-84ff-42af-ac17-8206dba8b28f,pause,1000
null,e47744e3-84ff-42af-ac17-8206dba8b28f,text,Please select an option or type your question below
null,e47744e3-84ff-42af-ac17-8206dba8b28f,option,"Work Order" "Purchase Order" "Preventive Maintenance" "Service Request" "User Access" "Reports" 
null,e47744e3-84ff-42af-ac17-8206dba8b28f,suggestion,"Failure Code Application: assign failure class" "Failure Code Hierarchy: assign failure class" "None of the above: assign failure class" 
null,3789dfed-0767-4756-b3fc-c16818fa4e4a,search,"How to Create and Run a Quick Ad Hoc Report.pdf" "How to_ Export an AD HOC to Eclipse BIRT Designer.pdf" "Ad hoc report Administration .pdf" 
null,2f637c34-dae9-4141-b4d2-a03f1e5763aa,text, Hi there, I am TRM's virtual assistant! 👋🏽 
null,2f637c34-dae9-4141-b4d2-a03f1e5763aa,pause,1000
null,2f637c34-dae9-4141-b4d2-a03f1e5763aa,text,I'm here to assist you with your Maximo related questions
null,2f637c34-dae9-4141-b4d2-a03f1e5763aa,pause,1000
null,2f637c34-dae9-4141-b4d2-a03f1e5763aa,text,Please select an option or type your question below
null,2f637c34-dae9-4141-b4d2-a03f1e5763aa,option,"Work Order" "Purchase Order" "Preventive Maintenance" "Service Request" "User Access" "Reports" 
null,3789dfed-0767-4756-b3fc-c16818fa4e4a,text, Hi there, I am TRM's virtual assistant! 👋🏽 
null,3789dfed-0767-4756-b3fc-c16818fa4e4a,pause,1000
null,3789dfed-0767-4756-b3fc-c16818fa4e4a,text,I'm here to assist you with your Maximo related questions
null,3789dfed-0767-4756-b3fc-c16818fa4e4a,pause,1000
null,3789dfed-0767-4756-b3fc-c16818fa4e4a,text,Please select an option or type your question below
null,3789dfed-0767-4756-b3fc-c16818fa4e4a,option,"Work Order" "Purchase Order" "Preventive Maintenance" "Service Request" "User Access" "Reports" 
null,57ed363c-e1bf-4f8d-8812-8dd865ef700d,search,"How to Create and Run a Quick Ad Hoc Report.pdf" "How to_ Export an AD HOC to Eclipse BIRT Designer.pdf" "Ad hoc report Administration .pdf" 
null,57ed363c-e1bf-4f8d-8812-8dd865ef700d,text, Hi there, I am TRM's virtual assistant! 👋🏽 
null,57ed363c-e1bf-4f8d-8812-8dd865ef700d,pause,1000
null,57ed363c-e1bf-4f8d-8812-8dd865ef700d,text,I'm here to assist you with your Maximo related questions
null,57ed363c-e1bf-4f8d-8812-8dd865ef700d,pause,1000
null,57ed363c-e1bf-4f8d-8812-8dd865ef700d,text,Please select an option or type your question below
null,57ed363c-e1bf-4f8d-8812-8dd865ef700d,option,"Work Order" "Purchase Order" "Preventive Maintenance" "Service Request" "User Access" "Reports" 
null,57ed363c-e1bf-4f8d-8812-8dd865ef700d,text,Ok, please tell me your email.
null,57ed363c-e1bf-4f8d-8812-8dd865ef700d,image,NO TEXT FOR image
null,57ed363c-e1bf-4f8d-8812-8dd865ef700d,text,[Request agent →](https://teams.microsoft.com/_#/conversations/?ctx=chat)
null,57ed363c-e1bf-4f8d-8812-8dd865ef700d,text,Sorry for the trouble but we need this information to connect you with a best suited agent. 
null,57ed363c-e1bf-4f8d-8812-8dd865ef700d,text,To connect to an agent, we will need some of your information first. Please tell us your name.
null,57ed363c-e1bf-4f8d-8812-8dd865ef700d,text,Ok, please type in your query then wait for an agent.
null,621b384c-3dc7-4e43-aa10-7541ebee892d,text, Hi there, I am TRM's virtual assistant! 👋🏽 
null,621b384c-3dc7-4e43-aa10-7541ebee892d,pause,1000
null,621b384c-3dc7-4e43-aa10-7541ebee892d,text,I'm here to assist you with your Maximo related questions
null,621b384c-3dc7-4e43-aa10-7541ebee892d,pause,1000
null,621b384c-3dc7-4e43-aa10-7541ebee892d,text,Please select an option or type your question below
null,621b384c-3dc7-4e43-aa10-7541ebee892d,option,"Work Order" "Purchase Order" "Preventive Maintenance" "Service Request" "User Access" "Reports" 
null,621b384c-3dc7-4e43-aa10-7541ebee892d,text,IBM Maximo is an Enterprise Asset Management (EAM) solution (equipment, installations, buildings, etc) that provides purchasing, inventory, management of locations, service desk, and work planning. Maximo utilizes a series of applications, within modules, to setup and maintain an organization’s asset management plan. When using the Go To menu to navigate to these applications, the list in the drop-down menu is the list of modules. The menu expands to show the applications within each module. In some instances, there are categories of applications, so an additional list level is between the module name and application name.
null,621b384c-3dc7-4e43-aa10-7541ebee892d,option,"Terminology" "Asset Management" "Item Master" "Work Order" "Preventive Maintenance" "Purchase Order" "Service Request" 
null,621b384c-3dc7-4e43-aa10-7541ebee892d,search,"ASSET TERMINOLOGY.pdf" 
null,e2e70176-fb43-43ec-86b1-c507254b65f3,text,IBM Maximo is an Enterprise Asset Management (EAM) solution (equipment, installations, buildings, etc) that provides purchasing, inventory, management of locations, service desk, and work planning. Maximo utilizes a series of applications, within modules, to setup and maintain an organization’s asset management plan. When using the Go To menu to navigate to these applications, the list in the drop-down menu is the list of modules. The menu expands to show the applications within each module. In some instances, there are categories of applications, so an additional list level is between the module name and application name.
null,e2e70176-fb43-43ec-86b1-c507254b65f3,option,"Key Terms" "Asset Management" "Item Master" "Work Order" "Preventive Maintenance" "Purchase Order" "Service Request" 
null,e2e70176-fb43-43ec-86b1-c507254b65f3,search,"Warranty Contracts Application Overview.pdf" "Warranty Contracts Application Tabs.pdf" "Invoices Application Overview.pdf" 
null,8acdea26-f94b-45f5-b5e1-0df91546063b,text, Hi there, I am TRM's virtual assistant! 👋🏽 
null,8acdea26-f94b-45f5-b5e1-0df91546063b,pause,1000
null,8acdea26-f94b-45f5-b5e1-0df91546063b,text,I'm here to assist you with your Maximo related questions
null,8acdea26-f94b-45f5-b5e1-0df91546063b,pause,1000
null,8acdea26-f94b-45f5-b5e1-0df91546063b,text,Please select an option or type your question below
null,8acdea26-f94b-45f5-b5e1-0df91546063b,option,"Work Order" "Purchase Order" "Preventive Maintenance" "Service Request" "User Access" "Reports" "What is Maximo" 
null,8acdea26-f94b-45f5-b5e1-0df91546063b,text,IBM Maximo is an Enterprise Asset Management (EAM) solution (equipment, installations, buildings, etc) that provides purchasing, inventory, management of locations, service desk, and work planning. Maximo utilizes a series of applications, within modules, to setup and maintain an organization’s asset management plan. When using the Go To menu to navigate to these applications, the list in the drop-down menu is the list of modules. The menu expands to show the applications within each module. In some instances, there are categories of applications, so an additional list level is between the module name and application name.
null,8acdea26-f94b-45f5-b5e1-0df91546063b,option,"Key Terms" "Asset Management" "Item Master" "Work Order" "Preventive Maintenance" "Purchase Order" "Service Request" 
null,8acdea26-f94b-45f5-b5e1-0df91546063b,text,To create a new Asset:  On the toolbar of the Assets application, click the New Asset icon.  To save an Asset: On the toolbar of the Assets application, click the Save Asset icon.
null,e2e70176-fb43-43ec-86b1-c507254b65f3,text, Hi there, I am TRM's virtual assistant! 👋🏽 
null,e2e70176-fb43-43ec-86b1-c507254b65f3,pause,1000
null,e2e70176-fb43-43ec-86b1-c507254b65f3,text,I'm here to assist you with your Maximo related questions
null,e2e70176-fb43-43ec-86b1-c507254b65f3,pause,1000
null,e2e70176-fb43-43ec-86b1-c507254b65f3,text,Please select an option or type your question below
null,e2e70176-fb43-43ec-86b1-c507254b65f3,option,"Work Order" "Purchase Order" "Preventive Maintenance" "Service Request" "User Access" "Reports" "What is Maximo" 
null,9a4584e9-ab22-4f3c-b7e8-7e456d957fee,search,"How to Create an Instance Property.pdf" "BUILDING MAXIMO EAR FILES.pdf" "How to Modify a Global Property.pdf" 
null,9a4584e9-ab22-4f3c-b7e8-7e456d957fee,suggestion,"Please transfer me to an agent: live chat" "Bot Profile : live chat" "Search TRM Document Library: live chat" "None of the above: live chat" 
null,e554a34f-7ced-44a8-bd8e-f1694b2f3eec,text,Sorry for the trouble but we need this information to connect you with a best suited agent. 
null,e554a34f-7ced-44a8-bd8e-f1694b2f3eec,text,To connect to an agent, we will need some of your information first. Please tell us your name.
null,9a4584e9-ab22-4f3c-b7e8-7e456d957fee,text,Sorry for the trouble but we need this information to connect you with a best suited agent. 
null,9a4584e9-ab22-4f3c-b7e8-7e456d957fee,text,To connect to an agent, we will need some of your information first. Please tell us your name.
null,e554a34f-7ced-44a8-bd8e-f1694b2f3eec,text,Sorry for the trouble but we need this information to connect you with a best suited agent. 
null,e554a34f-7ced-44a8-bd8e-f1694b2f3eec,text,To connect to an agent, we will need some of your information first. Please tell us your name.
null,9a4584e9-ab22-4f3c-b7e8-7e456d957fee,text,Ok, please tell me your email.
null,9a4584e9-ab22-4f3c-b7e8-7e456d957fee,text,Ok, please type in your query then wait for an agent.
null,9a4584e9-ab22-4f3c-b7e8-7e456d957fee,suggestion,"Please transfer me to an agent: live chat" "Bot Profile : live chat" "Search TRM Document Library: live chat" "None of the above: live chat" 
null,512d1476-2b2f-43ce-97d8-7fdb68322c02,suggestion,"Please transfer me to an agent: live chat" "Bot Profile : live chat" "Search TRM Document Library: live chat" "None of the above: live chat" 
null,512d1476-2b2f-43ce-97d8-7fdb68322c02,text, Hi there, I am TRM's virtual assistant! 👋🏽 
null,512d1476-2b2f-43ce-97d8-7fdb68322c02,pause,1000
null,512d1476-2b2f-43ce-97d8-7fdb68322c02,text,I'm here to assist you with your Maximo related questions
null,512d1476-2b2f-43ce-97d8-7fdb68322c02,pause,1000
null,512d1476-2b2f-43ce-97d8-7fdb68322c02,text,Please select an option or type your question below
null,512d1476-2b2f-43ce-97d8-7fdb68322c02,option,"Work Order" "Purchase Order" "Preventive Maintenance" "Service Request" "User Access" "Reports" "What is Maximo" 
null,512d1476-2b2f-43ce-97d8-7fdb68322c02,text,Sorry for the trouble but we need this information to connect you with a best suited agent. 
null,512d1476-2b2f-43ce-97d8-7fdb68322c02,text,To connect to an agent, we will need some of your information first. Please tell us your name.
null,512d1476-2b2f-43ce-97d8-7fdb68322c02,text,Sorry for the trouble but we need this information to connect you with a best suited agent. 
null,512d1476-2b2f-43ce-97d8-7fdb68322c02,text,To connect to an agent, we will need some of your information first. Please tell us your name.
null,512d1476-2b2f-43ce-97d8-7fdb68322c02,text,Sorry for the trouble but we need this information to connect you with a best suited agent. 
null,512d1476-2b2f-43ce-97d8-7fdb68322c02,text,To connect to an agent, we will need some of your information first. Please tell us your name.
null,512d1476-2b2f-43ce-97d8-7fdb68322c02,text,Sorry for the trouble but we need this information to connect you with a best suited agent. 
null,512d1476-2b2f-43ce-97d8-7fdb68322c02,text,To connect to an agent, we will need some of your information first. Please tell us your name.
null,e554a34f-7ced-44a8-bd8e-f1694b2f3eec,text,Hi there! How can I help you?
null,e554a34f-7ced-44a8-bd8e-f1694b2f3eec,text, Hi there, I am TRM's virtual assistant! 👋🏽 
null,e554a34f-7ced-44a8-bd8e-f1694b2f3eec,pause,1000
null,e554a34f-7ced-44a8-bd8e-f1694b2f3eec,text,I'm here to assist you with your Maximo related questions
null,e554a34f-7ced-44a8-bd8e-f1694b2f3eec,pause,1000
null,e554a34f-7ced-44a8-bd8e-f1694b2f3eec,text,Please select an option or type your question below
null,e554a34f-7ced-44a8-bd8e-f1694b2f3eec,option,"Work Order" "Purchase Order" "Preventive Maintenance" "Service Request" "User Access" "Reports" "What is Maximo" 
null,9a4584e9-ab22-4f3c-b7e8-7e456d957fee,image,NO TEXT FOR image
null,9a4584e9-ab22-4f3c-b7e8-7e456d957fee,text,[Request agent →](https://teams.microsoft.com/_#/conversations/?ctx=chat)
